eventCode,teamNumber,name,year
CURIE,4814,Championship Division Finalist,2013
CURIE,4814,Highest Rookie Seed,2013
CURIE,4814,Rookie Inspiration Award,2013
ONTO2,4814,Rookie All-Star Award,2013
ONTO2,4814,Regional Winner,2013
MIDET,4815,Rookie Inspiration Award,2013
MIDET,4815,Highest Rookie Seed,2013
MNDU,4818,Rookie Inspiration Award,2013
MITRY,4819,Rookie Inspiration Award,2013
MITRY,4819,Highest Rookie Seed,2013
MIKET,4819,Highest Rookie Seed,2013
MIKET,4819,Rookie All-Star Award,2013
TXLU,4820,Creativity Award sponsored by Xerox,2013
NCRE,4824,Highest Rookie Seed,2013
MITVC,4827,Rookie Inspiration Award,2013
NCRE,4828,Regional Winner,2013
HIHO,4830,Highest Rookie Seed,2013
MITVC,4835,District Winner,2013
MITVC,4835,Rookie All-Star Award,2013
MITVC,4835,Highest Rookie Seed,2013
MIDET,4838,District Finalist,2013
AZCH,4841,Rookie Inspiration Award,2013
TXSA,4842,Rookie Inspiration Award,2013
INWL,4846,Rookie Inspiration Award,2013
ARFA,4848,Rookie Inspiration Award,2013
ARFA,4849,FIRST Deans List Finalist Award,2013
TXLU,4852,Highest Rookie Seed,2013
TXLU,4853,Rookie Inspiration Award,2013
MILIV,4854,Highest Rookie Seed,2013
MISJO,4855,Rookie All-Star Award,2013
MIWMI,4855,Rookie Inspiration Award,2013
MIWMI,4855,Highest Rookie Seed,2013
MIWAT,1,Engineering Inspiration Award,2014
NJFLA,11,Industrial Design Award sponsored by General Motors,2014
MRCMP,11,Regional Winner,2014
PAPHI,11,Industrial Design Award sponsored by General Motors,2014
HIHO,11,Regional Chairmans Award,2014
OHCI,16,Engineering Excellence Award sponsored by Delphi,2014
OHCI,16,Regional Winner,2014
ARFA,16,Regional Winner,2014
ARFA,16,Woodie Flowers Finalist Award,2014
ARFA,16,Engineering Excellence Award sponsored by Delphi,2014
ARFA,16,FIRST Deans List Finalist Award,2014
NYTR,20,Regional Winner,2014
NYTR,20,FIRST Deans List Finalist Award,2014
NYTR,20,Innovation in Control Award sponsored by Rockwell Automation,2014
NYRO,20,Industrial Design Award sponsored by General Motors,2014
NYRO,20,Regional Winner,2014
FLOR,21,Engineering Excellence Award sponsored by Delphi,2014
MRCMP,25,Engineering Inspiration Award,2014
PAHAT,25,Engineering Inspiration Award,2014
PAHAT,25,Finalist,2014
NJTAB,25,Creativity Award sponsored by Xerox,2014
NEWTON,25,Creativity Award sponsored by Xerox,2014
ARCHIMEDES,27,Championship Finalist,2014
MICMP,27,FIRST Deans List Finalist Award,2014
MICMP,27,Regional Winner,2014
MICMP,27,Engineering Inspiration Award,2014
MISJO,27,Quality Award sponsored by Motorola,2014
MISJO,27,Finalist,2014
CMP,27,FIRST Deans List Award,2014
CMP,27,Chairmans Award,2014
MNDU2,27,Regional Chairmans Award,2014
MNDU2,27,Industrial Design Award sponsored by General Motors,2014
MIHOW,27,Engineering Inspiration Award,2014
MIHOW,27,Finalist,2014
NYLI,28,Regional Finalist,2014
NYLI,28,Engineering Inspiration Award,2014
ARCHIMEDES,33,Championship Finalist,2014
MICMP,33,Regional Winner,2014
MICMP,33,Regional Chairmans Award,2014
MIMID,33,Engineering Excellence Award sponsored by Delphi,2014
MISOU,33,Winner,2014
MISOU,33,District Chairmans Award,2014
MITRY,33,Quality Award sponsored by Motorola,2014
MITRY,33,Winner,2014
INWL,45,Innovation in Control Award sponsored by Rockwell Automation,2014
INTH,48,Industrial Safety Award sponsored by Underwriters Laboratories,2014
PAPI,48,Woodie Flowers Finalist Award,2014
MISOU,51,Industrial Design Award sponsored by General Motors,2014
MIWAT,51,Team Spirit Award sponsored by Chrysler,2014
MIWAT,51,Finalist,2014
NJFLA,56,Winner,2014
PAPHI,56,Innovation in Control Award sponsored by Rockwell Automation,2014
TXHO,57,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
NECMP,58,Quality Award sponsored by Motorola,2014
NHDUR,58,Winner,2014
NHDUR,58,Team Spirit Award sponsored by Chrysler,2014
MELEW,58,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
AZCH,60,Regional Finalist,2014
MAWOR,61,Quality Award sponsored by Motorola,2014
RISMI,61,Industrial Design Award sponsored by General Motors,2014
MICMP,66,FIRST Deans List Finalist Award,2014
MIMID,66,Quality Award sponsored by Motorola,2014
MIESC,66,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
MIBED,66,Imagery Award in honor of Jack Kamen,2014
MICMP,67,Engineering Excellence Award sponsored by Delphi,2014
MICMP,67,Woodie Flowers Finalist Award,2014
MICMP,67,Regional Finalist,2014
GALILEO,67,Championship Winner,2014
MIWAT,67,Engineering Excellence Award sponsored by Delphi,2014
MIWAT,67,Finalist,2014
MILAN,67,Winner,2014
MILAN,67,Innovation in Control Award sponsored by Rockwell Automation,2014
MIHOW,67,Industrial Design Award sponsored by General Motors,2014
MIHOW,67,Winner,2014
MICMP,68,Regional Chairmans Award,2014
MIMID,68,Industrial Design Award sponsored by General Motors,2014
MIMID,68,Winner,2014
MIWAT,68,District Chairmans Award,2014
MIBED,68,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
MABOS,69,Finalist,2014
MIWMI,70,Quality Award sponsored by Motorola,2014
MIBED,70,Finalist,2014
MIKET,70,Engineering Excellence Award sponsored by Delphi,2014
INTH,71,Industrial Design Award sponsored by General Motors,2014
MICMP,74,Regional Finalist,2014
CURIE,74,Championship Winner,2014
CMP,74,Championship Winner,2014
MIWMI,74,Judges Award,2014
NJFLA,75,Winner,2014
NJFLA,75,Engineering Inspiration Award,2014
MRCMP,75,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
NJBRI,75,District Chairmans Award,2014
NECMP,78,FIRST Deans List Finalist Award,2014
NECMP,78,Regional Chairmans Award,2014
RISMI,78,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
RISMI,78,Outstanding Volunteer of the Year Award,2014
RISMI,78,Winner,2014
RISMI,78,Industrial Safety Award sponsored by Underwriters Laboratories,2014
CTGRO,78,District Chairmans Award,2014
FLOR,79,FIRST Deans List Finalist Award,2014
FLOR,79,Regional Finalist,2014
GADU,79,Engineering Inspiration Award,2014
MISJO,85,Finalist,2014
MISJO,85,Industrial Design Award sponsored by General Motors,2014
MILAN,85,Engineering Excellence Award sponsored by Delphi,2014
FLFO,86,Engineering Excellence Award sponsored by Delphi,2014
MELEW,88,Imagery Award in honor of Jack Kamen,2014
MNDU,93,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
WIMI,93,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
MITVC,94,Team Spirit Award sponsored by Chrysler,2014
CTHAR,95,Creativity Award sponsored by Xerox,2014
CASA,100,Creativity Award sponsored by Xerox,2014
NJCLI,102,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
MIESC,107,Winner,2014
MIESC,107,Industrial Design Award sponsored by General Motors,2014
MISOU,107,Winner,2014
MISOU,107,Team Spirit Award sponsored by Chrysler,2014
MIWMI,107,Finalist,2014
GADU,108,Regional Winner,2014
FLFO,108,Judges Award,2014
DCWA,116,Imagery Award in honor of Jack Kamen,2014
TXSA,118,Regional Winner,2014
TXSA,118,Engineering Excellence Award sponsored by Delphi,2014
MOKC,118,Engineering Excellence Award sponsored by Delphi,2014
MOKC,118,Regional Winner,2014
TXHO,118,Regional Winner,2014
NCRE,122,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
MABOS,125,Winner,2014
MABOS,125,Industrial Design Award sponsored by General Motors,2014
RISMI,125,Winner,2014
RISMI,125,Engineering Excellence Award sponsored by Delphi,2014
MELEW,125,Winner,2014
MELEW,125,District Chairmans Award,2014
NHDUR,126,Judges Award,2014
MABOS,126,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
NHDUR,131,Finalist,2014
NHDUR,131,Innovation in Control Award sponsored by Rockwell Automation,2014
NHNAS,131,Judges Award,2014
NHNAS,131,Finalist,2014
MELEW,133,Finalist,2014
NHNAS,133,Team Spirit Award sponsored by Chrysler,2014
INTH,135,Regional Winner,2014
INWL,135,Judges Award,2014
INWL,135,Regional Winner,2014
NHNAS,138,Winner,2014
NHNAS,138,Industrial Design Award sponsored by General Motors,2014
MICMP,141,FIRST Deans List Finalist Award,2014
MISJO,141,Engineering Inspiration Award,2014
MIWMI,141,Creativity Award sponsored by Xerox,2014
ONWI,141,Quality Award sponsored by Motorola,2014
ONWI,141,Team Spirit Award sponsored by Chrysler,2014
NYTR,145,Engineering Excellence Award sponsored by Delphi,2014
NYTR,145,Regional Finalist,2014
TXSA,148,Innovation in Control Award sponsored by Rockwell Automation,2014
TXSA,148,Regional Finalist,2014
TXHO,148,Engineering Excellence Award sponsored by Delphi,2014
TXHO,148,Regional Winner,2014
TXDA,148,Regional Winner,2014
TXDA,148,Quality Award sponsored by Motorola,2014
CTSOU,155,Innovation in Control Award sponsored by Rockwell Automation,2014
MELEW,155,Winner,2014
MELEW,155,Engineering Excellence Award sponsored by Delphi,2014
MAWOR,157,Team Spirit Award sponsored by Chrysler,2014
CODE,159,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
NHDUR,166,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
MELEW,166,Team Spirit Award sponsored by Chrysler,2014
ILIL,171,Regional Finalist,2014
NHNAS,172,Quality Award sponsored by Motorola,2014
NYTR,174,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
ARCHIMEDES,175,Championship Finalist,2014
CTSOU,175,Engineering Excellence Award sponsored by Delphi,2014
CTHAR,176,Imagery Award in honor of Jack Kamen,2014
NHDUR,176,Quality Award sponsored by Motorola,2014
NHDUR,176,Finalist,2014
NECMP,177,Regional Winner,2014
CTHAR,177,Winner,2014
NHNAS,177,Winner,2014
NHNAS,177,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
CTHAR,178,Engineering Inspiration Award,2014
CTGRO,178,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
FLOR,179,Regional Finalist,2014
FLFO,179,Woodie Flowers Finalist Award,2014
FLFO,179,Imagery Award in honor of Jack Kamen,2014
FLFO,179,Regional Winner,2014
FLOR,180,Regional Winner,2014
FLFO,180,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
FLFO,180,Regional Winner,2014
FLFO,180,FIRST Deans List Finalist Award,2014
ONNB,188,Regional Winner,2014
ONNB,188,Industrial Design Award sponsored by General Motors,2014
ONTO,188,Outstanding Volunteer of the Year Award,2014
ONTO2,188,Regional Finalist,2014
TXSA,190,Creativity Award sponsored by Xerox,2014
MAWOR,190,Winner,2014
RISMI,190,Quality Award sponsored by Motorola,2014
TXLU,192,Engineering Excellence Award sponsored by Delphi,2014
CASJ,192,Engineering Excellence Award sponsored by Delphi,2014
WIMI,192,Engineering Excellence Award sponsored by Delphi,2014
NJCLI,193,Quality Award sponsored by Motorola,2014
MRCMP,193,Regional Finalist,2014
NJBRI,193,Winner,2014
NECMP,195,Regional Finalist,2014
NECMP,195,Woodie Flowers Finalist Award,2014
NECMP,195,Industrial Design Award sponsored by General Motors,2014
CTSOU,195,Quality Award sponsored by Motorola,2014
CTSOU,195,Winner,2014
CTGRO,195,Industrial Design Award sponsored by General Motors,2014
MISOU,201,Industrial Safety Award sponsored by Underwriters Laboratories,2014
MRCMP,203,Team Spirit Award sponsored by Chrysler,2014
PAPHI,203,Team Spirit Award sponsored by Chrysler,2014
PAPHI,203,Industrial Safety Award sponsored by Underwriters Laboratories,2014
NJTAB,203,Industrial Safety Award sponsored by Underwriters Laboratories,2014
NJTAB,203,Judges Award,2014
CALB,207,FIRST Deans List Finalist Award,2014
CALB,207,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
CALB,207,Woodie Flowers Finalist Award,2014
MITRY,217,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
OHCL,217,Regional Chairmans Award,2014
MICEN,217,Engineering Excellence Award sponsored by Delphi,2014
NJFLA,219,Judges Award,2014
NJFLA,222,Finalist,2014
NJFLA,222,Innovation in Control Award sponsored by Rockwell Automation,2014
NJCLI,223,Creativity Award sponsored by Xerox,2014
MRCMP,223,Innovation in Control Award sponsored by Rockwell Automation,2014
NJTAB,223,Innovation in Control Award sponsored by Rockwell Automation,2014
NJTAB,223,Finalist,2014
DCWA,225,Creativity Award sponsored by Xerox,2014
DCWA,225,Regional Winner,2014
MRCMP,225,Quality Award sponsored by Motorola,2014
MRCMP,225,FIRST Deans List Finalist Award,2014
PAPHI,225,Winner,2014
PAPHI,225,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
NJTAB,225,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
MITRY,226,Imagery Award in honor of Jack Kamen,2014
MIHOW,226,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
NECMP,228,Team Spirit Award sponsored by Chrysler,2014
NECMP,228,FIRST Deans List Finalist Award,2014
CTGRO,228,Engineering Inspiration Award,2014
CTGRO,228,Outstanding Volunteer of the Year Award,2014
NYTR,229,Regional Winner,2014
NECMP,230,Regional Winner,2014
CTHAR,230,Industrial Design Award sponsored by General Motors,2014
CTHAR,230,Finalist,2014
CTSOU,230,Finalist,2014
CTGRO,230,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
CTGRO,230,Winner,2014
MDBA,233,Engineering Excellence Award sponsored by Delphi,2014
OHCI,234,Quality Award sponsored by Motorola,2014
INTH,234,Regional Finalist,2014
CTGRO,236,Quality Award sponsored by Motorola,2014
CTGRO,236,Finalist,2014
MABOS,237,Quality Award sponsored by Motorola,2014
CTGRO,237,Finalist,2014
CTGRO,237,Innovation in Control Award sponsored by Rockwell Automation,2014
CTHAR,238,Innovation in Control Award sponsored by Rockwell Automation,2014
MIBED,240,Winner,2014
MICMP,245,FIRST Deans List Finalist Award,2014
TXLU,245,Innovation in Control Award sponsored by Rockwell Automation,2014
TXLU,245,Team Spirit Award sponsored by Chrysler,2014
MITRY,245,Industrial Safety Award sponsored by Underwriters Laboratories,2014
MIHOW,245,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
MABOS,246,Creativity Award sponsored by Xerox,2014
NYTR,250,Regional Finalist,2014
NYTR,250,Industrial Safety Award sponsored by Underwriters Laboratories,2014
NYTR,250,Industrial Design Award sponsored by General Motors,2014
CURIE,254,Championship Winner,2014
CURIE,254,Innovation in Control Award sponsored by Rockwell Automation,2014
CASJ,254,Regional Winner,2014
CASJ,254,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
CMP,254,Championship Winner,2014
ONWA,254,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
ONWA,254,Regional Winner,2014
ONWA,254,Quality Award sponsored by Motorola,2014
CAMA,254,Quality Award sponsored by Motorola,2014
CAMA,254,Regional Winner,2014
NYLI,271,Quality Award sponsored by Motorola,2014
NYLI,271,Regional Finalist,2014
NYNY,271,Regional Finalist,2014
NYNY,271,Quality Award sponsored by Motorola,2014
PAHAT,272,Winner,2014
MILIV,280,District Chairmans Award,2014
MILIV,280,Industrial Safety Award sponsored by Underwriters Laboratories,2014
MICEN,280,Finalist,2014
MICEN,280,Creativity Award sponsored by Xerox,2014
MICEN,280,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
SCMB,281,FIRST Deans List Finalist Award,2014
SCMB,281,Team Spirit Award sponsored by Chrysler,2014
MIMID,288,Winner,2014
ONTO,288,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
PAPI,291,Judges Award,2014
NJBRI,293,Creativity Award sponsored by Xerox,2014
NJBRI,293,Winner,2014
CASB,294,Regional Finalist,2014
CASB,294,Industrial Design Award sponsored by General Motors,2014
CALB,294,Regional Winner,2014
CALB,294,FIRST Deans List Finalist Award,2014
CALB,294,Quality Award sponsored by Motorola,2014
MIMID,302,Engineering Inspiration Award,2014
NJCLI,303,District Chairmans Award,2014
MRCMP,303,Regional Chairmans Award,2014
PAHAT,303,Team Spirit Award sponsored by Chrysler,2014
MILIV,308,Innovation in Control Award sponsored by Rockwell Automation,2014
MILAN,308,Quality Award sponsored by Motorola,2014
MIHOW,308,Engineering Excellence Award sponsored by Delphi,2014
MICMP,314,Regional Winner,2014
MILIV,314,Winner,2014
MILAN,314,District Chairmans Award,2014
MILAN,314,Finalist,2014
MIKET,314,Winner,2014
MIKET,314,Quality Award sponsored by Motorola,2014
PAPHI,316,Quality Award sponsored by Motorola,2014
PAPHI,316,Winner,2014
NJTAB,316,Winner,2014
NHDUR,319,Creativity Award sponsored by Xerox,2014
PAPHI,321,Judges Award,2014
NYLI,329,Regional Winner,2014
NYLI,329,Engineering Excellence Award sponsored by Delphi,2014
MDBA,329,Engineering Inspiration Award,2014
MDBA,329,FIRST Deans List Finalist Award,2014
CASD,330,Regional Winner,2014
CASD,330,Industrial Design Award sponsored by General Motors,2014
CALB,330,Innovation in Control Award sponsored by Rockwell Automation,2014
CALB,330,Regional Finalist,2014
NYLI,333,Imagery Award in honor of Jack Kamen,2014
ARCHIMEDES,334,Championship Finalist,2014
NYNY,334,Creativity Award sponsored by Xerox,2014
NYNY,334,Regional Winner,2014
GALILEO,337,Industrial Safety Award sponsored by Underwriters Laboratories,2014
INWL,337,Industrial Safety Award sponsored by Underwriters Laboratories,2014
INWL,337,Engineering Inspiration Award,2014
PAPI,337,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
PAPI,337,Industrial Safety Award sponsored by Underwriters Laboratories,2014
DCWA,339,Industrial Design Award sponsored by General Motors,2014
NCRE,339,Innovation in Control Award sponsored by Rockwell Automation,2014
NYTR,340,Regional Chairmans Award,2014
NYRO,340,Woodie Flowers Finalist Award,2014
NYRO,340,Engineering Inspiration Award,2014
NYRO,340,Regional Finalist,2014
NEWTON,340,Team Spirit Award sponsored by Chrysler,2014
MRCMP,341,Regional Winner,2014
MRCMP,341,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
NYRO,341,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
PAHAT,341,Winner,2014
NJTAB,341,Team Spirit Award sponsored by Chrysler,2014
NEWTON,341,Championship Finalist,2014
VARI,346,Innovation in Control Award sponsored by Rockwell Automation,2014
RISMI,348,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
FLFO,348,Regional Finalist,2014
NYNY,353,Industrial Safety Award sponsored by Underwriters Laboratories,2014
NYNY,353,Regional Chairmans Award,2014
NYNY,354,Regional Finalist,2014
PAPHI,357,Creativity Award sponsored by Xerox,2014
PAPHI,357,Finalist,2014
PAHAT,357,Engineering Excellence Award sponsored by Delphi,2014
NYLI,358,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
HIHO,359,Regional Winner,2014
HIHO,359,Industrial Safety Award sponsored by Underwriters Laboratories,2014
MNDU2,359,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
MNDU2,359,Regional Winner,2014
TXDA,359,Regional Winner,2014
TXDA,359,Engineering Excellence Award sponsored by Delphi,2014
WACHE,360,Creativity Award sponsored by Xerox,2014
WACHE,360,Finalist,2014
WAAHS,360,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
LAKE,364,Regional Winner,2014
LAKE,364,Judges Award,2014
PAPHI,365,Engineering Inspiration Award,2014
NJBRI,365,Team Spirit Award sponsored by Chrysler,2014
NJBRI,365,Finalist,2014
NJBRI,365,Industrial Safety Award sponsored by Underwriters Laboratories,2014
CASJ,368,Innovation in Control Award sponsored by Rockwell Automation,2014
CASJ,368,Regional Finalist,2014
HIHO,368,Regional Winner,2014
HIHO,368,Innovation in Control Award sponsored by Rockwell Automation,2014
HIHO,368,Outstanding Volunteer of the Year Award,2014
NCRE,375,FIRST Deans List Finalist Award,2014
NYRO,378,FIRST Deans List Finalist Award,2014
NYRO,378,Regional Winner,2014
OHCL,378,Woodie Flowers Finalist Award,2014
OHCL,379,Team Spirit Award sponsored by Chrysler,2014
OHCL,379,Regional Finalist,2014
FLOR,383,Industrial Design Award sponsored by General Motors,2014
GALILEO,384,Engineering Inspiration Award,2014
VARI,384,Regional Winner,2014
VARI,384,Engineering Excellence Award sponsored by Delphi,2014
VARI,388,Imagery Award in honor of Jack Kamen,2014
ARCHIMEDES,399,Industrial Design Award sponsored by General Motors,2014
CASB,399,Regional Winner,2014
CASB,399,Regional Chairmans Award,2014
CASB,399,Woodie Flowers Finalist Award,2014
NVLV,399,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
UTWV,399,Industrial Design Award sponsored by General Motors,2014
TXHO,418,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
ARFA,418,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
ARFA,418,Engineering Inspiration Award,2014
TXSA,422,FIRST Deans List Finalist Award,2014
VARI,422,Regional Chairmans Award,2014
VARI,422,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
PAPHI,433,District Chairmans Award,2014
VARI,435,Regional Finalist,2014
OHCI,447,Regional Winner,2014
OHCI,447,Creativity Award sponsored by Xerox,2014
DCWA,449,FIRST Deans List Finalist Award,2014
MICEN,453,Winner,2014
LAKE,456,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
LAKE,456,Industrial Safety Award sponsored by Underwriters Laboratories,2014
TXDA,457,Regional Winner,2014
INTH,461,Creativity Award sponsored by Xerox,2014
MAWOR,467,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
MELEW,467,Creativity Award sponsored by Xerox,2014
CURIE,469,Championship Winner,2014
CMP,469,Championship Winner,2014
MIWAT,469,Innovation in Control Award sponsored by Rockwell Automation,2014
MIHOW,469,Winner,2014
MISOU,470,Engineering Inspiration Award,2014
MILIV,470,Judges Award,2014
OKOK,476,Creativity Award sponsored by Xerox,2014
MRCMP,484,Regional Finalist,2014
WASHO,488,Industrial Design Award sponsored by General Motors,2014
PNCMP,488,Innovation in Control Award sponsored by Rockwell Automation,2014
PNCMP,488,FIRST Deans List Finalist Award,2014
PNCMP,488,Woodie Flowers Finalist Award,2014
WASNO,488,Winner,2014
WASNO,488,Engineering Excellence Award sponsored by Delphi,2014
WASNO,492,Creativity Award sponsored by Xerox,2014
WASNO,492,Finalist,2014
MICMP,494,Innovation in Control Award sponsored by Rockwell Automation,2014
MIWMI,494,Winner,2014
MIWMI,494,Industrial Design Award sponsored by General Motors,2014
MIBED,494,Finalist,2014
MIBED,494,Innovation in Control Award sponsored by Rockwell Automation,2014
MICEN,494,Innovation in Control Award sponsored by Rockwell Automation,2014
AZCH,498,Industrial Design Award sponsored by General Motors,2014
NHDUR,501,Industrial Safety Award sponsored by Underwriters Laboratories,2014
MICMP,503,Regional Chairmans Award,2014
MILIV,503,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
MILIV,503,Winner,2014
MILAN,503,Finalist,2014
MILAN,503,Engineering Inspiration Award,2014
MIKET,503,District Chairmans Award,2014
NHDUR,509,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
OHCI,525,Innovation in Control Award sponsored by Rockwell Automation,2014
ILIL,525,Innovation in Control Award sponsored by Rockwell Automation,2014
ILIL,525,Regional Winner,2014
ILIL,525,Woodie Flowers Finalist Award,2014
NYLI,527,Regional Chairmans Award,2014
NYLI,533,Industrial Design Award sponsored by General Motors,2014
OHCL,533,Quality Award sponsored by Motorola,2014
WIMI,537,FIRST Deans List Finalist Award,2014
INTH,537,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
VARI,540,Creativity Award sponsored by Xerox,2014
VARI,540,Engineering Inspiration Award,2014
MICMP,548,FIRST Deans List Finalist Award,2014
MILIV,548,Engineering Inspiration Award,2014
MIHOW,548,Finalist,2014
MIHOW,548,District Chairmans Award,2014
MIBED,548,Engineering Excellence Award sponsored by Delphi,2014
NECMP,558,Regional Finalist,2014
NECMP,558,Judges Award,2014
CTHAR,558,Winner,2014
CTSOU,558,District Chairmans Award,2014
CTSOU,558,Industrial Safety Award sponsored by Underwriters Laboratories,2014
CTSOU,558,Winner,2014
CTGRO,558,Industrial Safety Award sponsored by Underwriters Laboratories,2014
NYLI,564,Judges Award,2014
CTGRO,571,Imagery Award in honor of Jack Kamen,2014
CURIE,573,Championship Finalist,2014
MISOU,573,Engineering Excellence Award sponsored by Delphi,2014
MIWAT,573,Creativity Award sponsored by Xerox,2014
DCWA,587,Judges Award,2014
CASB,597,Judges Award,2014
NYNY,597,Engineering Inspiration Award,2014
CASB,599,Engineering Excellence Award sponsored by Delphi,2014
CASB,599,Regional Finalist,2014
CASA,599,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
CASJ,604,Regional Chairmans Award,2014
CASD,604,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
ONNB,610,Regional Winner,2014
ONNB,610,Engineering Excellence Award sponsored by Delphi,2014
ONTO2,610,Woodie Flowers Finalist Award,2014
ONTO2,610,Regional Winner,2014
ONTO2,610,Quality Award sponsored by Motorola,2014
DCWA,612,Engineering Inspiration Award,2014
OHCL,612,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
MDBA,623,Regional Winner,2014
TXSA,624,Regional Chairmans Award,2014
TXSA,624,Regional Winner,2014
TXSA,624,Imagery Award in honor of Jack Kamen,2014
CURIE,624,Industrial Safety Award sponsored by Underwriters Laboratories,2014
FLOR,624,Innovation in Control Award sponsored by Rockwell Automation,2014
TXHO,624,Innovation in Control Award sponsored by Rockwell Automation,2014
TXHO,624,Regional Finalist,2014
TXHO,624,Industrial Safety Award sponsored by Underwriters Laboratories,2014
TXHO,624,FIRST Deans List Finalist Award,2014
NYRO,639,Innovation in Control Award sponsored by Rockwell Automation,2014
OHCL,639,Innovation in Control Award sponsored by Rockwell Automation,2014
OHCL,639,Regional Winner,2014
CODE,649,FIRST Deans List Finalist Award,2014
CODE,662,Regional Finalist,2014
MELEW,663,Winner,2014
NVLV,687,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
NVLV,687,Regional Finalist,2014
CAMA,691,Imagery Award in honor of Jack Kamen,2014
CASA,692,Regional Finalist,2014
ILCH,695,Woodie Flowers Finalist Award,2014
ILCH,695,Imagery Award in honor of Jack Kamen,2014
CALB,696,Industrial Design Award sponsored by General Motors,2014
CAMA,696,Industrial Design Award sponsored by General Motors,2014
AZCH,698,Industrial Safety Award sponsored by Underwriters Laboratories,2014
AZCH,698,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
CASB,701,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2014
CASA,701,FIRST Deans List Finalist Award,2014
CAMA,702,Woodie Flowers Finalist Award,2014
MIMID,703,Gracious Professionalism™ Award sponsored by Johnson & Johnson,2014
MILAN,703,Imagery Award in honor of Jack Kamen,2014
TXDA,704,FIRST Deans List Finalist Award,2014
MNDU,706,Industrial Design Award sponsored by General Motors,2014
MNDU,706,Regional Finalist,2014
WIMI,706,Regional Finalist,2014
WIMI,706,Quality Award sponsored by Motorola,2014
NJTAB,709,Imagery Award in honor of Jack Kamen,2014
MAWOR,716,Innovation in Control Award sponsored by Rockwell Automation,2014
FLOR,744,Quality Award sponsored by Motorola,2014
FLFO,744,Innovation in Control Award sponsored by Rockwell Automation,2014
FLFO,744,Regional Finalist,2014
ONTO2,746,Judges Award,2014
CASA,766,Regional Winner,2014
PAPI,771,Team Spirit Award sponsored by Chrysler,2014
PAPI,771,Regional Chairmans Award,2014
ONWA,771,FIRST Deans List Finalist Award,2014
ONWA,771,Team Spirit Award sponsored by Chrysler,2014
ONNB,772,Engineering Inspiration Award,2014
